result,horse_sex,jockey_weight,horse_win_value,horse_psf_rate,race_info,speed,horse_age_4,horse_age_5,horse_age_6,horse_age_7,horse_age_8,horse_age_9,horse_age_10,horse_age_11,race_type_Condition 2,race_type_Condition 3,race_type_Condition 4,race_type_Condition 5,race_type_Condition-6,race_type_Condition-7,race_type_Condition-8,race_type_Condition-9,race_type_G 3,race_type_Handicap 13,race_type_Handicap 14,race_type_Handicap 15,race_type_Handicap 16,race_type_Handicap 17,race_type_Handicap 21,race_type_Maiden,race_type_Sale 1,race_type_Sale 2,race_type_Sale 3,race_age_group_1,race_track_type_1,race_track_condition_Moist,race_track_condition_Muddy,race_track_condition_Wet
0.5,1,0.4666666666666667,0.021945272283933896,0.17647058823529413,2024-01-01_Bursa_8,0.9119880701223528,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.75,1,0.4666666666666667,0.059333513952858304,0.07058823529411765,2024-01-01_Bursa_8,0.9110024567983555,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.0,1,0.4666666666666667,0.05012191817935519,0.058823529411764705,2024-01-01_Bursa_8,0.894320724431739,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.0,1,0.4,0.06989975616364129,0.058823529411764705,2024-01-01_Bursa_9,0.7405510319695514,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.1,1,0.4666666666666667,0.1647250067732322,0.03529411764705882,2024-01-01_Bursa_9,0.7233849986573199,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.2,1,0.4,0.03359523164454078,0.12941176470588237,2024-01-01_Bursa_9,0.7230162402692925,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.3,1,0.8666666666666667,0.004334868599295585,0.43529411764705883,2024-01-01_Bursa_9,0.7229986861969229,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.4,1,0.2,0.004334868599295585,0.03529411764705882,2024-01-01_Bursa_9,0.7145644690118648,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.5,1,0.8,0.046870766729883495,0.07058823529411765,2024-01-01_Bursa_9,0.706149823464539,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.6,1,0.6,0.024112706583581688,0.16470588235294117,2024-01-01_Bursa_9,0.70602198409633,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.7,1,0.4666666666666667,0.09347060417231104,0.023529411764705882,2024-01-01_Bursa_9,0.6889066960373448,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.8,1,0.4,0.08940666486047143,0.047058823529411764,2024-01-01_Bursa_9,0.6888984279313227,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.9,1,0.4,0.10051476564616636,0.03529411764705882,2024-01-01_Bursa_9,0.6650094682487775,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1.0,1,0.4666666666666667,0.04172311026822,0.1411764705882353,2024-01-01_Bursa_9,0.6571298091421269,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.0,1,0.4,0.0010837171498238958,0.6470588235294118,2024-01-02_Adana_1,0.7911564598177084,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.16666666666666666,1,0.4,0.014359252235166625,0.29411764705882354,2024-01-02_Adana_1,0.790347341861334,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.3333333333333333,1,0.4,0.03359523164454078,0.11764705882352941,2024-01-02_Adana_1,0.7780896445602826,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.5,1,0.4,0.041994039555675974,0.058823529411764705,2024-01-02_Adana_1,0.7780029708796953,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.6666666666666666,1,0.3333333333333333,0.08859387699810349,0.023529411764705882,2024-01-02_Adana_1,0.7543544518275603,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
