race_no,result,horse_age,horse_sex,jockey_weight,jockey_name,horse_race_degree,horse_win_value,horse_psf_rate,horse_psf_rank,horse_rate
9,11,4y,m,54,EFE AKPINAR,2.09.24,113.15,1,10,18
1,1,6y,m,59,MERTCAN AKIN,2.22.30,8.5,11,5,62
1,2,5y,m,50,MERT UYAR,2.22.87,4.2,17,3,41
1,3,4y,m,61,HALİL YOLAÇICI,2.22.93,3.1,22,2,70
1,4,4y,m,57,ALİ YILDIZ,2.23.73,6.65,13,4,59
1,5,4y,m,54,MUHAMMED MİR BİLGİN,2.24.47,2.1,32,1,53
1,6,4y,m,59,ENES ÜSTÜN,2.29.46,27.85,5,6,68
2,1,5y,m,55,MUHAMMED MİR BİLGİN,2.26.26,14.95,6,6,88
2,2,7y,m,55,ÖZCAN YILDIRIM,2.26.61,1.75,39,1,94
2,3,7y,m,55,ONUR YILDIZ,2.28.17,5.5,13,3,81
2,4,7y,m,55,GÖKHAN GÖKÇE,2.30.78,2.75,24,2,91
2,5,9y,m,55,MUSTAFA ÇİÇEK,2.31.33,9.45,11,4,84
2,6,5y,m,55,ALİCAN İNCİ,2.36.69,19.1,8,5,70
